Company_Name,GHG_emissions_tCO2e,Water_usage_m3,Waste_generation_tons,Energy_efficiency_score,Renewable_energy_usage_percentage,Labor_practices_and_human_rights,Health_and_safety_performance,Community_engagement_and_development,Board_composition_and_diversity,Executive_compensation_and_accountability,Investment,Income,Profit
Pacific Gas and Electric,660.9992958144917,5328.154006777627,18.77628930768077,16.333664808905723,35.79611945327647,39.96580020857537,50.869194072937596,61.54909596667192,75.97213286809253,57.94941827902612,782.8962060285446,472.4497125054983,-310.4464935230463
RWE,526.8135778303326,4916.623593298211,60.308257068979664,22.17819781923186,33.366089063369266,98.28601178554204,72.11227561147663,75.37806010864153,77.36473950553341,66.51328601837255,605.0077676089691,385.92824159475765,-219.0795260142114
Suncor Energy,409.9453588398099,9436.17964794278,55.09790922359774,31.755457986950177,38.769515483900676,53.64703911884732,35.269112016973466,44.721374079378506,45.56163739668406,43.89087402062388,370.2029088228925,1231.145752913371,860.9428440904786
Williams Companies,416.38614502079696,7354.171068976221,73.55738646670227,25.938840074319625,13.836820088819001,50.26301156212535,32.57022115777023,30.972922175133,61.190408476732415,95.31671767711674,460.21127827388915,922.7292575322834,462.5179792583943
Southern Company,471.514195546077,6680.535813610357,58.08614967043082,8.75912974059464,73.81682705368436,25.77784882039913,47.257585304385564,48.28100933283703,37.35196642317412,60.821327237957526,720.8998590145632,972.3760102740613,251.47615125949812
ConocoPhillips,734.4329947200578,1448.578250046474,58.66611104197938,8.99162448597023,85.69644147762389,70.13635603104414,87.7407345395147,32.307106840575116,70.19472001198068,21.99994722366252,915.4877046794047,1942.040444137414,1026.5527394580092
Pacific Gas and Electric,638.4574524413391,9135.219972343373,48.66363492184582,19.32494152341682,93.8714635374035,1.4372951777777643,4.028130673398033,83.8971096674068,83.57215966478712,47.921625743351626,217.65386491054716,1503.0608081475177,1285.4069432369706
Saudi Aramco,513.713361485018,9184.511728075566,37.79509816066067,5.055918795953895,49.23623035196258,4.951262970229353,80.4832817296472,29.767371559284573,68.82332773356494,67.5404437135294,614.2275727022414,941.217930573962,326.99035787172056
Public Service Enterprise Group,168.34006933265988,8021.917570870921,53.403792512697294,62.645701967692716,70.08656991254286,59.935858713580274,36.89876126577565,65.97636404530837,51.25826268471365,32.3629124580479,328.3562795114057,234.3787037150868,-93.97757579631892
Iberdrola,169.98880967106138,1063.2628343225724,20.66431228915605,28.732671650890197,85.55511234358725,34.16745738184541,85.46190257884777,13.698222230952783,45.86579594923703,7.964160628902317,821.2350248879133,261.37225613588646,-559.8627687520268
Iberdrola,102.10545156320043,1515.5222596986102,96.53620050847763,27.974596776907102,41.829111109348595,95.33163722009606,80.22030088358565,68.686649373491,64.23196509757443,58.3435634710885,163.21357528253296,1432.6466521625412,1269.4330768800082
Xcel Energy,970.9294493863778,3027.0133204164076,74.29696872639384,33.199829423776514,30.941279487044437,90.31906907227857,34.87612473960884,91.32997116000338,67.98108916013302,94.787016861968,720.0602111540528,1707.929767131975,987.8695559779222
Avangrid,104.72843670254642,2182.1446733041603,95.7220405019062,66.27962742097216,93.67245558534901,71.37062586767073,69.3876535321616,60.858315463990834,55.8729443524539,48.50719855631738,257.4514123219268,1473.8647331894308,1216.413320867504
Fortis Inc.,192.78437141237038,4589.524267333565,30.405464409696695,87.06338814834905,51.56765510770731,81.81455811278013,15.963275677344013,55.98553800344772,62.4942275107395,90.61090806470379,636.7468765629063,930.5979546885058,293.85107812559943
Xcel Energy,383.1369011284698,9303.607522790107,89.14069181588752,75.90869325556385,49.7253886590878,66.73318496676933,89.6281552163788,96.11182680216402,9.658868249453223,83.5023588371694,852.1233284734228,256.04432827502524,-596.0790001983976
BP,826.687226635085,5248.543907772984,82.79109861071846,72.75292302250949,17.841609656349576,12.558210271016069,40.44910644519094,62.73965553158464,95.17655161423268,14.741278363398337,779.5725959095116,1941.3229344234135,1161.7503385139019
Eni,965.8889071877059,1120.6236378894905,70.94371712119063,48.43911856008493,10.815501457335674,76.55433696892027,45.56256153552002,25.955043327308257,79.0773063732034,70.81699218355708,777.6485989152735,1975.404911884556,1197.7563129692826
Chevron,811.0122029126704,3544.711206208858,66.25262674766851,69.38055569674117,84.21068624835117,21.01919687188464,70.57590510369849,29.23910238477404,37.39278697067838,43.546552507197845,566.0607809682147,1188.8561925996837,622.795411631469
Xcel Energy,721.5042092010765,1401.3541753566537,38.489469874108295,55.276236803358316,61.413317618751805,32.344285510019674,82.0840236704851,70.53066425359272,56.281261095363,25.02463252629369,901.6710326647492,327.20773645119004,-574.4632962135591
Chesapeake Energy,569.1706006722125,1326.5886035215194,83.47697064685276,21.62505281865289,32.58245840194487,81.92342121024203,23.634274332820958,73.54365938921863,4.732453013642135,68.6938355666703,629.2946784177981,1173.7505106460403,544.4558322282422
TransAlta,178.03469067596524,3481.47867785997,55.136391533176045,20.85883677410507,19.173621739026647,53.65256083934482,66.13501398769954,30.34962317890152,4.122781399906039,74.26607186564213,925.7661716946135,1806.209246397455,880.4430747028415
Chevron,962.3537137035373,3480.511048110509,16.38024183021568,29.639200687528344,55.549728016963144,85.99407141834092,39.19980438891485,34.53439779263302,25.07983351119627,17.98963187348388,591.8702120491758,1423.9739182307844,832.1037061816086
ConocoPhillips,782.5531725511133,8084.139423414436,38.1576844769617,91.08026709698133,58.391928926113536,21.30353198432642,36.87029240039613,99.1056508739087,68.97016423646232,91.44446820562084,555.3690067180027,1495.9806158589038,940.6116091409011
EDP-Energias de Portugal,675.0544468008356,9773.511875030008,94.17673886907949,54.74148403797259,20.699360124505816,60.77784386068872,69.00258239406547,10.195254958027745,85.21477478000116,75.1147243951441,300.11771728928306,352.9457073780487,52.82799008876566
Enel,783.1322609849649,4340.863845009984,86.56122345443616,73.39053770018694,85.1405747891474,8.379097254826162,38.718327415593436,40.46450284400993,55.91858799798484,93.33754991419687,590.3079886271845,391.7209466572426,-198.58704196994188
Eni,751.6929963458248,4859.981909749347,98.37151282688852,34.65587598165476,8.426436615585109,64.30609935400297,34.610850016440764,6.2447531197507455,53.21327395823524,31.7073218763691,226.52634812400728,429.2277974765935,202.7014493525862
EDP Renewables,673.5084218105382,8603.104926574193,66.51940443436882,40.771577066522525,35.609308516642166,76.25340377755347,83.58884081262424,82.1078361998241,40.2309533791466,93.93350157429869,882.7211811335909,1827.8783005897867,945.1571194561958
Repsol,982.5191201619893,3413.2511808596205,32.27590658263708,12.556557863725137,68.03844137625221,58.49308939787217,10.127612383100637,9.234583894543224,16.159795595802116,36.85176578383809,708.302699837464,1146.529345274864,438.22664543739995
Noble Energy,913.0274313724225,2407.4362396310316,24.65335447091774,17.129495782167037,27.412036381920068,26.623150149881024,67.58926228302107,67.40073564627112,11.835410132658753,5.396976142739174,994.2719036436478,1624.835173507384,630.5632698637363
Vattenfall,681.998427205447,8677.806610632855,26.822299654761547,82.73565548261456,82.76751947812718,3.134266885886672,24.872539379062463,5.648342400348206,76.06797612209661,76.29693887090234,182.8876850114708,407.5242677904804,224.6365827790096
